"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"177","Naive up to 3 lags","Lasso","p = 3","Scenario 3",0.55266783160226,27.9691079983227,"30",181
"178","Naive up to 3 lags","Light GBM","p = 3","Scenario 3",0.446969333107418,35.1093911306564,"60",151
"179","Naive up to 3 lags","Random Forests","p = 3","Scenario 3",0.582575058211878,28.3813243654865,"60",151
"180","Naive up to 3 lags","Lasso","p = 3","Scenario 3",0.544048871679767,29.9635910538201,"60",151
"181","Naive up to 6 lags","Light GBM","p = 3","Scenario 3",0.527350148348036,29.6370616552405,"30",181
"182","Naive up to 6 lags","Random Forests","p = 3","Scenario 3",0.598754515620872,26.228354612305,"30",181
"183","Naive up to 6 lags","Lasso","p = 3","Scenario 3",0.534398303248602,28.57080191297,"30",181
"184","Naive up to 6 lags","Light GBM","p = 3","Scenario 3",0.52890589265787,31.4699963372165,"60",151
"185","Naive up to 6 lags","Random Forests","p = 3","Scenario 3",0.597695558169931,27.8523300705288,"60",151
"186","Naive up to 6 lags","Lasso","p = 3","Scenario 3",0.534085098718555,30.4074747111522,"60",151
"187","All climate time series","Light GBM","p = 3","Scenario 3",0.131143369658058,40.4259259258425,"30",181
"188","All climate time series","Random Forests","p = 3","Scenario 3",0.208659069833616,37.1114449923512,"30",181
"189","All climate time series","Lasso","p = 3","Scenario 3",0.234030088590929,36.675979495359,"30",181
"190","All climate time series","Light GBM","p = 3","Scenario 3",0.145779986228864,42.1890651267347,"60",151
"191","All climate time series","Random Forests","p = 3","Scenario 3",0.226156544534505,39.0303950059828,"60",151
"192","All climate time series","Lasso","p = 3","Scenario 3",0.254885959352599,38.5980424844694,"60",151
"193","Time series reconstruction","Light GBM","p = 5","Scenario 3",0.438314596651597,52.1942053791532,"30",181
"194","Time series reconstruction","Lasso","p = 5","Scenario 3",0.559370733840081,45.738347189054,"30",181
"195","Time series reconstruction","Random Forests","p = 5","Scenario 3",0.527786231447326,47.7929103677067,"30",181
"196","Time series reconstruction","Light GBM","p = 5","Scenario 3",0.418110326952379,55.8870851044876,"60",151
"197","Time series reconstruction","Lasso","p = 5","Scenario 3",0.535615309818477,49.3840008197001,"60",151
"198","Time series reconstruction","Random Forests","p = 5","Scenario 3",0.514053443391782,51.1458912159311,"60",151
"199","Naive up to 3 lags","Light GBM","p = 5","Scenario 3",0.498202995329572,49.1243982297577,"30",181
"200","Naive up to 3 lags","Random Forests","p = 5","Scenario 3",0.520341160638556,47.6966068355751,"30",181
"201","Naive up to 3 lags","Lasso","p = 5","Scenario 3",0.502326605475508,48.7833143148629,"30",181
"202","Naive up to 3 lags","Light GBM","p = 5","Scenario 3",0.474684058468633,52.9872639313314,"60",151
"203","Naive up to 3 lags","Random Forests","p = 5","Scenario 3",0.497947057116663,51.4182393475103,"60",151
"204","Naive up to 3 lags","Lasso","p = 5","Scenario 3",0.485593303443387,52.3044864140104,"60",151
"205","Naive up to 6 lags","Light GBM","p = 5","Scenario 3",0.535577790827797,47.2550329142857,"30",181
"206","Naive up to 6 lags","Random Forests","p = 5","Scenario 3",0.582176371077714,44.3458518083433,"30",181
"207","Naive up to 6 lags","Lasso","p = 5","Scenario 3",0.581625772295528,45.9891541541151,"30",181
"208","Naive up to 6 lags","Light GBM","p = 5","Scenario 3",0.512210056543604,51.0406987852141,"60",151
"209","Naive up to 6 lags","Random Forests","p = 5","Scenario 3",0.556150957000003,48.2125000743188,"60",151
"210","Naive up to 6 lags","Lasso","p = 5","Scenario 3",0.559435164465566,49.5069054290237,"60",151
"211","All climate time series","Light GBM","p = 5","Scenario 3",0.103178619656219,70.2485224835308,"30",181
"212","All climate time series","Random Forests","p = 5","Scenario 3",0.1697155671396,66.339077909133,"30",181
"213","All climate time series","Lasso","p = 5","Scenario 3",0.215286349366809,65.7425558884,"30",181
"214","All climate time series","Light GBM","p = 5","Scenario 3",0.073606848773762,75.6802627403081,"60",151
"215","All climate time series","Random Forests","p = 5","Scenario 3",0.137934002079026,71.4765386092941,"60",151
"216","All climate time series","Lasso","p = 5","Scenario 3",0.160067648155899,71.0861764295661,"60",151
