"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"93","All climate time series","Lasso","p = 1","Scenario 2",0.0758029221797197,71.6200080850602,"30",181
"94","All climate time series","Light GBM","p = 1","Scenario 2",0.0228897330268097,83.7258677671951,"60",151
"95","All climate time series","Random Forests","p = 1","Scenario 2",0.06476061654191,73.5025725433195,"60",151
"96","All climate time series","Lasso","p = 1","Scenario 2",0.0810800746737059,72.0970845466358,"60",151
"97","Time series reconstruction","Light GBM","p = 3","Scenario 2",0.0494911631072346,48.5304081708734,"30",181
"98","Time series reconstruction","Lasso","p = 3","Scenario 2",0.0847691419151516,40.9310136882612,"30",181
"99","Time series reconstruction","Random Forests","p = 3","Scenario 2",0.139706882169634,39.7181864807798,"30",181
"100","Time series reconstruction","Light GBM","p = 3","Scenario 2",0.0632996190065518,48.3985961156611,"60",151
"101","Time series reconstruction","Lasso","p = 3","Scenario 2",0.175590762210666,38.4405399155099,"60",151
"102","Time series reconstruction","Random Forests","p = 3","Scenario 2",0.142954256277651,39.2364849864011,"60",151
"103","Naive up to 3 lags","Light GBM","p = 3","Scenario 2",0.155580774187883,45.8766362213419,"30",181
"104","Naive up to 3 lags","Random Forests","p = 3","Scenario 2",0.257168014684366,37.3244669882857,"30",181
"105","Naive up to 3 lags","Lasso","p = 3","Scenario 2",0.221624326990881,37.649342608367,"30",181
"106","Naive up to 3 lags","Light GBM","p = 3","Scenario 2",0.185365344840904,43.8043627500496,"60",151
"107","Naive up to 3 lags","Random Forests","p = 3","Scenario 2",0.290310164669183,36.0360096273455,"60",151
"108","Naive up to 3 lags","Lasso","p = 3","Scenario 2",0.255192525619718,36.412041675354,"60",151
"109","Naive up to 6 lags","Light GBM","p = 3","Scenario 2",0.145639205242089,46.8534770369058,"30",181
"110","Naive up to 6 lags","Random Forests","p = 3","Scenario 2",0.223864577712022,38.1102275240596,"30",181
"111","Naive up to 6 lags","Lasso","p = 3","Scenario 2",0.202404025833979,38.1696759060948,"30",181
"112","Naive up to 6 lags","Light GBM","p = 3","Scenario 2",0.158803462601792,46.1149107495556,"60",151
"113","Naive up to 6 lags","Random Forests","p = 3","Scenario 2",0.23420306723401,37.5169101168205,"60",151
"114","Naive up to 6 lags","Lasso","p = 3","Scenario 2",0.264584104445204,36.3957539318504,"60",151
"115","All climate time series","Light GBM","p = 3","Scenario 2",0.0390530518697598,49.8221382019119,"30",181
"116","All climate time series","Random Forests","p = 3","Scenario 2",0.0457367899881221,44.0695133788152,"30",181
"117","All climate time series","Lasso","p = 3","Scenario 2",0.073813400674938,41.1901180890352,"30",181
"118","All climate time series","Light GBM","p = 3","Scenario 2",0.0381871371405311,47.7291004446133,"60",151
"119","All climate time series","Random Forests","p = 3","Scenario 2",0.0610362385979376,42.1924844142711,"60",151
"120","All climate time series","Lasso","p = 3","Scenario 2",0.149124950627828,38.9364663593767,"60",151
"121","Time series reconstruction","Light GBM","p = 5","Scenario 2",0.0923435838076855,58.2051234736758,"30",181
"122","Time series reconstruction","Lasso","p = 5","Scenario 2",0.140103881108007,51.2151180642042,"30",181
"123","Time series reconstruction","Random Forests","p = 5","Scenario 2",0.133565874789207,51.2727227638275,"30",181
"124","Time series reconstruction","Light GBM","p = 5","Scenario 2",0.0792058098047035,60.3092185997674,"60",151
"125","Time series reconstruction","Lasso","p = 5","Scenario 2",0.1545982347334,50.9862173003975,"60",151
"126","Time series reconstruction","Random Forests","p = 5","Scenario 2",0.118850514986747,52.1154507419562,"60",151
"127","Naive up to 3 lags","Light GBM","p = 5","Scenario 2",0.0255565028581367,62.6125439285851,"30",181
"128","Naive up to 3 lags","Random Forests","p = 5","Scenario 2",0.122124321511171,51.7589749400568,"30",181
"129","Naive up to 3 lags","Lasso","p = 5","Scenario 2",0.121658999991704,51.4163507048298,"30",181
"130","Naive up to 3 lags","Light GBM","p = 5","Scenario 2",0.0151478185111326,64.4053132848914,"60",151
"131","Naive up to 3 lags","Random Forests","p = 5","Scenario 2",0.108615860668865,52.5525475447137,"60",151
"132","Naive up to 3 lags","Lasso","p = 5","Scenario 2",0.119109315765357,51.490248923571,"60",151
"133","Naive up to 6 lags","Light GBM","p = 5","Scenario 2",0.120397895368428,59.4530987501243,"30",181
"134","Naive up to 6 lags","Random Forests","p = 5","Scenario 2",0.221298712439846,48.9178805436912,"30",181
"135","Naive up to 6 lags","Lasso","p = 5","Scenario 2",0.208062577612577,48.6748966781907,"30",181
"136","Naive up to 6 lags","Light GBM","p = 5","Scenario 2",0.119029998165044,60.4256141260851,"60",151
"137","Naive up to 6 lags","Random Forests","p = 5","Scenario 2",0.233311958176738,48.5608548408867,"60",151
"138","Naive up to 6 lags","Lasso","p = 5","Scenario 2",0.242300271528961,47.4981403971594,"60",151
"139","All climate time series","Light GBM","p = 5","Scenario 2",0.0693430272625482,56.7038172951213,"30",181
"140","All climate time series","Random Forests","p = 5","Scenario 2",0.104854268110088,52.8896591805149,"30",181
"141","All climate time series","Lasso","p = 5","Scenario 2",0.0885748911752084,53.4639447092739,"30",181
"142","All climate time series","Light GBM","p = 5","Scenario 2",0.063711017027544,58.0283214017958,"60",151
"143","All climate time series","Random Forests","p = 5","Scenario 2",0.0867885860337893,53.829711110243,"60",151
"144","All climate time series","Lasso","p = 5","Scenario 2",0.088574277014619,53.8104315794544,"60",151
"145","Time series reconstruction","Light GBM","p = 1","Scenario 3",0.0598220158348974,61.806271255287,"30",181
"146","Time series reconstruction","Lasso","p = 1","Scenario 3",0.0673212946910336,54.3794455229943,"30",181
"147","Time series reconstruction","Random Forests","p = 1","Scenario 3",0.136485560417945,47.5769703468922,"30",181
"148","Time series reconstruction","Light GBM","p = 1","Scenario 3",0.127364622140452,53.3677991420665,"60",151
"149","Time series reconstruction","Lasso","p = 1","Scenario 3",0.0295484964068901,60.4963820758027,"60",151
"150","Time series reconstruction","Random Forests","p = 1","Scenario 3",0.161083495433177,49.4481388188121,"60",151
