"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"80","All climate time series + 6 lags","Random Forests","p = 1","Scenario 3",0.250951036788529,31.4727390779518,"30",181
"81","All climate time series + 6 lags","Lasso","p = 1","Scenario 3",0.231798253866067,32.2516035056899,"30",181
"82","All climate time series + 6 lags","Light GBM","p = 1","Scenario 3",0.327591515836704,35.6013115072129,"60",151
"83","All climate time series + 6 lags","Random Forests","p = 1","Scenario 3",0.349555845686666,27.2791678296167,"60",151
"84","All climate time series + 6 lags","Lasso","p = 1","Scenario 3",0.289130948906539,28.942114427544,"60",151
"85","All climate time series + 3 lags","Light GBM","p = 3","Scenario 3",0.0954834184919402,89.3154880808696,"30",181
"86","All climate time series + 3 lags","Random Forests","p = 3","Scenario 3",0.153601432631407,82.0297575487693,"30",181
"87","All climate time series + 3 lags","Lasso","p = 3","Scenario 3",0.136964793519255,83.3130945160045,"30",181
"88","All climate time series + 3 lags","Light GBM","p = 3","Scenario 3",0.0906104294175663,96.4672944728001,"60",151
"89","All climate time series + 3 lags","Random Forests","p = 3","Scenario 3",0.147245659509922,88.5424018906583,"60",151
"90","All climate time series + 3 lags","Lasso","p = 3","Scenario 3",0.0746868322802918,92.4912474505537,"60",151
"91","All climate time series + 6 lags","Light GBM","p = 3","Scenario 3",0.170197303241946,82.60033787198,"30",181
"92","All climate time series + 6 lags","Random Forests","p = 3","Scenario 3",0.273584214560441,75.9319202223234,"30",181
"93","All climate time series + 6 lags","Lasso","p = 3","Scenario 3",0.131314010340517,84.771294759345,"30",181
"94","All climate time series + 6 lags","Light GBM","p = 3","Scenario 3",0.162405142687295,89.1248244380024,"60",151
"95","All climate time series + 6 lags","Random Forests","p = 3","Scenario 3",0.256787659175916,82.6679350385605,"60",151
"96","All climate time series + 6 lags","Lasso","p = 3","Scenario 3",0.13253041758681,90.6196510866123,"60",151
"97","All climate time series + 3 lags","Light GBM","p = 5","Scenario 3",0.0954834184919402,89.3154880808696,"30",181
"98","All climate time series + 3 lags","Random Forests","p = 5","Scenario 3",0.160648550308588,81.7238614382464,"30",181
"99","All climate time series + 3 lags","Lasso","p = 5","Scenario 3",0.0650708059915394,86.7505751722292,"30",181
"100","All climate time series + 3 lags","Light GBM","p = 5","Scenario 3",0.0906104294175663,96.4672944728001,"60",151
"101","All climate time series + 3 lags","Random Forests","p = 5","Scenario 3",0.153556074108458,88.2639088304803,"60",151
"102","All climate time series + 3 lags","Lasso","p = 5","Scenario 3",0.0652121447559271,93.1732337993695,"60",151
"103","All climate time series + 6 lags","Light GBM","p = 5","Scenario 3",0.170197303241946,82.60033787198,"30",181
"104","All climate time series + 6 lags","Random Forests","p = 5","Scenario 3",0.278837703525069,75.7850656236328,"30",181
"105","All climate time series + 6 lags","Lasso","p = 5","Scenario 3",0.219890493451658,79.8073279925511,"30",181
"106","All climate time series + 6 lags","Light GBM","p = 5","Scenario 3",0.162405142687295,89.1248244380024,"60",151
"107","All climate time series + 6 lags","Random Forests","p = 5","Scenario 3",0.248090182083035,83.0053413545428,"60",151
"108","All climate time series + 6 lags","Lasso","p = 5","Scenario 3",0.168919845845161,88.0012378514624,"60",151
