"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Phi[3,2]",0.208874841175614,0.0553480313402641,0.103363078226932,0.171357660911214,0.212637788769297,0.241776176452892,0.326275919052136,2.02604237502943,5
"Phi[4,2]",0.188842838524707,0.527987202408095,-0.878975882562478,-0.204567731425341,0.263757925524441,0.633814800295197,0.958775859158778,1.00632153923838,340
"Phi[5,2]",-0.400785903174591,0.337779274084003,-0.936325957041176,-0.673526397501335,-0.4207210441991,-0.164688964937503,0.269240623191928,1.78743328676673,6
"Phi[6,2]",0.0582025811465737,0.15854709289234,-0.167034513899129,-0.0789695304848282,0.020978515260088,0.204531014542329,0.34422446697235,1.45646121056507,8
"Phi[7,2]",-0.0186001419861492,0.0699829312948547,-0.129834644738075,-0.0718659472975798,-0.0238742838985321,0.026679754132628,0.147675647559545,1.16884570257808,40
"Phi[8,2]",-0.298340148541295,0.118846456279732,-0.567515668838179,-0.363196371568682,-0.275731077359584,-0.218194254664793,-0.0946368744291804,1.33988181089761,11
"Phi[9,2]",-0.199039841047591,0.14668031628558,-0.458978000712561,-0.325368851183491,-0.190240058500491,-0.0689813337276701,0.0441680557780712,2.93127566943882,4
"Phi[10,2]",-0.0169360884763257,0.167310443080098,-0.405828222692646,-0.129522175072314,-0.0119581650067594,0.101781372818549,0.278781106832366,1.44410774339144,9
"Phi[1,3]",0.157735652956825,0.087073842296208,0.00644911324751665,0.107531740131344,0.146806034072803,0.198402276124266,0.367321351976441,1.48569835039928,8
"Phi[2,3]",0.00917193199595027,0.134288505906778,-0.209609269577054,-0.150758345857925,0.0648011023908697,0.116463397870501,0.180838616345617,5.2131207595714,3
"Phi[3,3]",0.0248665109534457,0.0846406765680579,-0.106861389152288,-0.0388914884563756,0.00780011378083619,0.0999602505505713,0.181242821159378,4.28493052671272,3
"Phi[4,3]",0.164363198435992,0.544487356700696,-0.902241351239149,-0.24947916949447,0.235369825138472,0.622479516459564,0.963058876464209,1.00334730469087,670
"Phi[5,3]",0.585793029530602,0.310418411348703,-0.0325597809780505,0.323072872807696,0.650296970969947,0.858688523379378,0.981639798503965,1.05952075826109,40
"Phi[6,3]",-0.00350029626129692,0.210006413898349,-0.289777097503219,-0.170423220478014,-0.0822308898110511,0.178205554084407,0.400363082800505,3.28274172545471,4
"Phi[7,3]",0.0724740069447774,0.0857576192831584,-0.152205727998658,0.0341256108543281,0.0812903401528143,0.127752239139791,0.223619235460421,1.23917235539277,19
"Phi[8,3]",0.392196625251784,0.2196670713675,0.059036295071133,0.190823073233912,0.355220925172012,0.590035081213825,0.797489419892664,1.88117709773547,5
"Phi[9,3]",0.357441280233992,0.285311535112508,0.0238325683914022,0.164051037717989,0.244690577329683,0.538501264349514,0.975864930274176,3.48787432964277,4
"Phi[10,3]",0.0918960932766494,0.229175858999515,-0.357479868346227,-0.0353962035622532,0.0781770727029178,0.185219531583581,0.613445371263319,1.10087332961734,300
"Phi[1,4]",0.0117880361693237,0.00432348245805396,0.00372061642950866,0.00866652125854066,0.0119107447290178,0.0149295165312131,0.0200411595973793,1.11477657475241,23
"Phi[2,4]",0.00561855618513117,0.00387227547984348,-0.00164809600837973,0.00307811134798621,0.00543841351451214,0.00787633024955858,0.0142605455220715,1.01427855914605,310
"Phi[3,4]",0.00964700952145604,0.00363816176925723,0.00267452826236217,0.0071553600121336,0.00960742876269884,0.0120804112561642,0.0170190183744671,1.06368931787811,41
"Phi[4,4]",0.0371242117437896,0.0752028401520193,-0.108184776799283,-0.0156404927433474,0.0375181932310316,0.0876425537783337,0.185209559591149,1.0088745797911,240
"Phi[5,4]",-0.0134954675390293,0.0145807708102434,-0.0428765987574012,-0.0232030377370748,-0.0132402419473683,-0.00362555256864346,0.0146004470466519,1.07735212631583,31
"Phi[6,4]",-0.0018785397356343,0.00315698944507903,-0.00836611654186361,-0.00397666227749847,-0.00180011877969292,0.000300122819749354,0.00392481826861213,1.0057734147019,370
"Phi[7,4]",0.000603626896460142,0.00117001778639053,-0.00168950528206996,-0.000179926988635698,0.000585526755666627,0.00139920629906409,0.00294355168994303,1.00660601735452,320
"Phi[8,4]",0.00350860681260975,0.00431143530318698,-0.00482641013806134,0.000696923970975878,0.00338566371813913,0.00633907377336089,0.0123353414219633,1.06370959716646,36
"Phi[9,4]",0.00932333081206637,0.0033238872933672,0.00313155752285361,0.00696862394885135,0.00921217702446361,0.0114960338440937,0.0161773410233428,1.0563447623851,45
"Phi[10,4]",-0.00363551425028026,0.0030354045520178,-0.00932175365296342,-0.00564835197305718,-0.00357141364675999,-0.00162872161890698,0.00236239058302338,1.00656481104259,320
