"","Percent_025","Percent_975","Time","Approach","Type","value"
"144",18.1258691666667,21.1089233333333,72,"All exogenous time series","Observed",8
"145",27.9610875,30.386395,73,"All exogenous time series","Predictions",29.02805
"146",27.9610875,30.386395,73,"All exogenous time series","Observed",2
"147",20.8856633333333,23.9413991666667,74,"All exogenous time series","Predictions",22.3957166666667
"148",20.8856633333333,23.9413991666667,74,"All exogenous time series","Observed",16
"149",12.9755941666667,14.9369508333333,75,"All exogenous time series","Predictions",13.99985
"150",12.9755941666667,14.9369508333333,75,"All exogenous time series","Observed",1
"151",17.2522191666667,19.4929841666667,76,"All exogenous time series","Predictions",18.2692
"152",17.2522191666667,19.4929841666667,76,"All exogenous time series","Observed",9
"153",31.0567533333333,35.7219066666667,77,"All exogenous time series","Predictions",33.3667833333334
"154",31.0567533333333,35.7219066666667,77,"All exogenous time series","Observed",11
"155",23.1846083333333,26.1075775,78,"All exogenous time series","Predictions",24.4162833333333
"156",23.1846083333333,26.1075775,78,"All exogenous time series","Observed",5
"157",13.1131383333333,15.4938775,79,"All exogenous time series","Predictions",14.3689333333333
"158",13.1131383333333,15.4938775,79,"All exogenous time series","Observed",34
"159",6.68806666666666,9.58790666666666,80,"All exogenous time series","Predictions",7.90975
"160",6.68806666666666,9.58790666666666,80,"All exogenous time series","Observed",10
"161",5.25846083333333,6.87678416666666,81,"All exogenous time series","Predictions",5.93865
"162",5.25846083333333,6.87678416666666,81,"All exogenous time series","Observed",24
"163",5.93052,8.10680916666666,82,"All exogenous time series","Predictions",7.11818333333333
"164",5.93052,8.10680916666666,82,"All exogenous time series","Observed",1
"165",6.57838333333334,8.47655666666667,83,"All exogenous time series","Predictions",7.45333333333333
"166",6.57838333333334,8.47655666666667,83,"All exogenous time series","Observed",15
"167",5.47475583333334,6.37711666666666,84,"All exogenous time series","Predictions",6.0041
"168",5.47475583333334,6.37711666666666,84,"All exogenous time series","Observed",6
"169",11.6067558333333,14.43937,85,"All exogenous time series","Predictions",13.15975
"170",11.6067558333333,14.43937,85,"All exogenous time series","Observed",5
"171",6.83866416666666,8.22244,86,"All exogenous time series","Predictions",7.4155
"172",6.83866416666666,8.22244,86,"All exogenous time series","Observed",1
"173",8.77379083333333,11.5409083333333,87,"All exogenous time series","Predictions",10.1967333333333
"174",8.77379083333333,11.5409083333333,87,"All exogenous time series","Observed",5
"175",7.47744666666667,9.25191916666667,88,"All exogenous time series","Predictions",8.26561666666667
"176",7.47744666666667,9.25191916666667,88,"All exogenous time series","Observed",5
"177",8.46443,10.4951441666667,89,"All exogenous time series","Predictions",9.32928333333333
"178",8.46443,10.4951441666667,89,"All exogenous time series","Observed",0
"179",3.11538416666667,4.13087583333333,90,"All exogenous time series","Predictions",3.65541666666667
"180",3.11538416666667,4.13087583333333,90,"All exogenous time series","Observed",2
"181",7.26707083333333,8.40753333333334,91,"All exogenous time series","Predictions",7.8732
"182",7.26707083333333,8.40753333333334,91,"All exogenous time series","Observed",0
"183",4.33014916666667,5.078495,92,"All exogenous time series","Predictions",4.69538333333334
"184",4.33014916666667,5.078495,92,"All exogenous time series","Observed",1
"185",8.22286166666666,9.93608666666667,93,"All exogenous time series","Predictions",8.84365
"186",8.22286166666666,9.93608666666667,93,"All exogenous time series","Observed",1
"187",4.35730916666666,5.19925083333333,94,"All exogenous time series","Predictions",4.79681666666667
"188",4.35730916666666,5.19925083333333,94,"All exogenous time series","Observed",2
"189",13.0889741666667,16.7817625,95,"All exogenous time series","Predictions",15.0930666666667
"190",13.0889741666667,16.7817625,95,"All exogenous time series","Observed",0
"191",11.5384008333333,13.9229108333333,96,"All exogenous time series","Predictions",12.79735
"192",11.5384008333333,13.9229108333333,96,"All exogenous time series","Observed",10
"193",11.4439583333333,13.59581,97,"All exogenous time series","Predictions",12.4016
"194",11.4439583333333,13.59581,97,"All exogenous time series","Observed",3
"195",12.3354758333333,14.3170841666667,98,"All exogenous time series","Predictions",13.3177666666667
"196",12.3354758333333,14.3170841666667,98,"All exogenous time series","Observed",11
"197",11.1251141666667,13.4091883333333,99,"All exogenous time series","Predictions",12.4350666666667
"198",11.1251141666667,13.4091883333333,99,"All exogenous time series","Observed",24
"199",8.00782583333333,9.33027166666667,100,"All exogenous time series","Predictions",8.73686666666666
"200",8.00782583333333,9.33027166666667,100,"All exogenous time series","Observed",10
"201",13.0259083333333,15.0683775,101,"All exogenous time series","Predictions",14.07225
"202",13.0259083333333,15.0683775,101,"All exogenous time series","Observed",5
"203",9.5430275,10.8496483333333,102,"All exogenous time series","Predictions",10.0384666666667
