"","rsme","cor","approach"
"91",11.4643096138895,0.137264044914301,"Naive up to 3 lags"
"92",11.4087814161674,0.141605259012814,"Naive up to 3 lags"
"93",11.4743025911281,0.142005794920968,"Naive up to 3 lags"
"94",11.4573354392223,0.134893410302575,"Naive up to 3 lags"
"95",11.3761547975897,0.147290150660319,"Naive up to 3 lags"
"96",11.3196780213644,0.144835821937152,"Naive up to 3 lags"
"97",11.4170269883283,0.146613006356731,"Naive up to 3 lags"
"98",11.3352062252568,0.14905838128354,"Naive up to 3 lags"
"99",11.4947399878127,0.137791061961455,"Naive up to 3 lags"
"100",11.4907324389042,0.142589008190205,"Naive up to 3 lags"
"101",11.8950169545788,0.126748917712977,"Naive up to 6 lags"
"102",11.7660776730207,0.128300730334038,"Naive up to 6 lags"
"103",11.8728648209397,0.122428125103622,"Naive up to 6 lags"
"104",11.829360813898,0.125788721478002,"Naive up to 6 lags"
"105",11.887101670869,0.122709167011938,"Naive up to 6 lags"
"106",11.7881275106365,0.127747423127915,"Naive up to 6 lags"
"107",11.8656511919509,0.124879167427539,"Naive up to 6 lags"
"108",11.7074715340842,0.13258125187189,"Naive up to 6 lags"
"109",11.7284035704982,0.127938436679902,"Naive up to 6 lags"
"110",11.9869645411967,0.123267842779026,"Naive up to 6 lags"
"111",11.7633344069715,0.12903626645911,"Naive up to 6 lags"
"112",11.7637707822798,0.125806291061842,"Naive up to 6 lags"
"113",11.82707468003,0.121552170076473,"Naive up to 6 lags"
"114",11.8732804482191,0.119454350763706,"Naive up to 6 lags"
"115",11.9175490493324,0.120238689577383,"Naive up to 6 lags"
"116",11.8437945023168,0.124808527259164,"Naive up to 6 lags"
"117",11.9618600699618,0.115842913663847,"Naive up to 6 lags"
"118",11.7505333670682,0.123455989638129,"Naive up to 6 lags"
"119",11.8816899601331,0.116625701327345,"Naive up to 6 lags"
"120",11.8329882762388,0.126562497986332,"Naive up to 6 lags"
"121",11.7937466102537,0.128550417749277,"Naive up to 6 lags"
"122",11.8214758902355,0.127970049294053,"Naive up to 6 lags"
"123",11.7963524791689,0.121411699971799,"Naive up to 6 lags"
"124",11.8933960225614,0.119016701579991,"Naive up to 6 lags"
"125",11.7668499356007,0.125621251894737,"Naive up to 6 lags"
"126",11.7430091759252,0.127584515846855,"Naive up to 6 lags"
"127",11.8729840219596,0.120103864138194,"Naive up to 6 lags"
"128",11.8522782950023,0.119703574691871,"Naive up to 6 lags"
"129",11.8436640563166,0.121563602074945,"Naive up to 6 lags"
"130",11.7973339883361,0.123857404798349,"Naive up to 6 lags"
"131",11.8498474573414,0.121774563590518,"Naive up to 6 lags"
"132",11.6648665273134,0.13896654738635,"Naive up to 6 lags"
"133",11.7719276775885,0.122228740900061,"Naive up to 6 lags"
